name,scores
IS_III_C01_D01.jpg,"[99.0, 93.0, 99.0, 91.0, 99.0, 100.0, 100.0, 100.0, 92.0, 100.0, 99.0, 88.0, 100.0, 97.0, 100.0, 100.0, 100.0, 100.0, 100.0, 98.0, 100.0, 94.0, 69.0, 87.0, 100.0, 99.0, 100.0, 100.0, 100.0, 100.0, 100.0]"
IS_III_C01_D02.jpg,"[90.0, 70.0, 87.0, 94.0, 100.0, 68.0, 61.0, 83.0, 48.0, 97.0, 98.0, 79.0, 92.0, 85.0, 66.0, 59.0, 46.0, 67.0, 80.0, 74.0, 81.0, 74.0, 95.0, 84.0, 83.0, 74.0, 51.0, 59.0, 62.0, 91.0, 74.0]"
IS_III_C01_D03.jpg,"[100.0, 66.0, 91.0, 98.0, 99.0, 65.0, 93.0, 73.0, 90.0, 68.0, 98.0, 100.0, 96.0, 85.0, 86.0, 83.0, 73.0, 91.0, 86.0, 74.0, 80.0, 76.0, 74.0, 96.0, 93.0, 93.0, 74.0, 92.0, 84.0, 90.0, 51.0]"
IS_III_C01_D04.jpg,"[93.0, 74.0, 43.0, 46.0, 30.0, 37.0, 36.0, 50.0, 49.0, 75.0, 54.0, 65.0, 38.0, 64.0, 34.0, 53.0, 42.0, 49.0, 51.0, 55.0, 46.0, 54.0, 47.0, 50.0, 54.0, 62.0, 35.0, 53.0, 74.0, 61.0, 14.0]"
IS_III_C01_D05.jpg,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.0, 0.0, 0.0, 0.0, 0.0, 16.0, 32.0]"
IS_III_C01_D06.jpg,"[38.0, 41.0, 66.0, 37.0, 36.0, 40.0, 36.0, 36.0, 31.0, 62.0, 35.0, 53.0, 15.0, 48.0, 38.0, 38.0, 42.0, 53.0, 50.0, 49.0, 64.0, 59.0, 55.0, 23.0, 13.0, 21.0, 28.0, 51.0, 24.0, 67.0, 28.0]"
IS_III_C01_D07.jpg,"[86.0, 40.0, 53.0, 43.0, 7.0, 25.0, 29.0, 60.0, 50.0, 34.0, 48.0, 14.0, 33.0, 52.0, 21.0, 45.0, 25.0, 26.0, 34.0, 44.0, 69.0, 15.0, 36.0, 34.0, 17.0, 44.0, 50.0, 46.0, 39.0, 67.0, 57.0]"
IS_III_C01_D08.jpg,"[62.0, 31.0, 47.0, 49.0, 12.0, 34.0, 54.0, 70.0, 49.0, 38.0, 16.0, 35.0, 73.0, 58.0, 37.0, 77.0, 46.0, 44.0, 45.0, 52.0, 66.0, 20.0, 44.0, 76.0, 72.0, 30.0, 60.0, 30.0, 61.0, 60.0, 0.0]"
IS_III_C01_D09.jpg,"[86.0, 100.0, 97.0, 100.0, 98.0, 89.0, 100.0, 90.0, 94.0, 100.0, 95.0, 93.0, 91.0, 82.0, 93.0, 74.0, 50.0, 95.0, 83.0, 54.0, 86.0, 100.0, 100.0, 60.0, 97.0, 98.0, 60.0, 91.0, 90.0, 91.0, 63.0]"
IS_III_C01_D10.jpg,"[2.0, 3.0, 0.0, 0.0, 0.0, 7.0, 19.0, 6.0, 5.0, 0.0, 1.0, 2.0, 4.0, 4.0, 3.0, 4.0, 2.0, 0.0, 5.0, 1.0, 1.0, 5.0, 1.0, 7.0, 0.0, 3.0, 10.0, 4.0, 0.0, 11.0, 74.0]"
IS_III_C01_D11.jpg,"[88.0, 74.0, 83.0, 90.0, 99.0, 70.0, 88.0, 63.0, 100.0, 47.0, 85.0, 83.0, 95.0, 80.0, 65.0, 70.0, 89.0, 76.0, 80.0, 75.0, 64.0, 71.0, 81.0, 98.0, 78.0, 52.0, 61.0, 41.0, 93.0, 92.0, 11.0]"
IS_III_C01_D12.jpg,"[57.0, 50.0, 76.0, 52.0, 47.0, 77.0, 52.0, 76.0, 26.0, 37.0, 69.0, 25.0, 71.0, 49.0, 42.0, 64.0, 38.0, 83.0, 68.0, 51.0, 52.0, 42.0, 67.0, 47.0, 84.0, 48.0, 32.0, 59.0, 34.0, 64.0, 32.0]"
IS_III_C01_D13.jpg,"[25.0, 24.0, 42.0, 46.0, 9.0, 29.0, 0.0, 18.0, 27.0, 16.0, 11.0, 16.0, 8.0, 38.0, 34.0, 33.0, 38.0, 15.0, 24.0, 38.0, 38.0, 33.0, 21.0, 15.0, 8.0, 19.0, 34.0, 32.0, 17.0, 49.0, 17.0]"
IS_III_C02_D01.jpg,"[100.0, 100.0, 91.0, 90.0, 99.0, 100.0, 65.0, 100.0, 88.0, 82.0, 95.0, 94.0, 100.0, 79.0, 100.0, 100.0, 100.0, 100.0, 100.0, 97.0, 100.0, 94.0, 100.0, 94.0, 100.0, 98.0, 100.0, 100.0, 100.0, 98.0, 100.0]"
IS_III_C02_D02.jpg,"[99.0, 82.0, 99.0, 100.0, 100.0, 88.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 85.0, 94.0, 90.0, 89.0, 84.0, 54.0, 94.0, 70.0, 71.0, 100.0, 97.0, 100.0, 92.0, 85.0, 80.0, 79.0, 87.0, 88.0, 74.0]"
IS_III_C02_D03.jpg,"[80.0, 43.0, 76.0, 91.0, 79.0, 68.0, 61.0, 56.0, 49.0, 67.0, 63.0, 52.0, 83.0, 61.0, 48.0, 78.0, 55.0, 61.0, 87.0, 71.0, 94.0, 44.0, 100.0, 81.0, 87.0, 69.0, 63.0, 84.0, 49.0, 76.0, 88.0]"
IS_III_C02_D05.jpg,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 8.0, 12.0, 11.0, 8.0, 1.0, 0.0, 0.0, 34.0, 0.0, 0.0, 0.0, 8.0, 0.0, 9.0, 1.0, 0.0, 0.0, 0.0, 5.0, 1.0, 8.0, 18.0, 0.0, 52.0, 82.0]"
IS_III_C02_D06.jpg,"[38.0, 32.0, 8.0, 0.0, 7.0, 12.0, 0.0, 46.0, 25.0, 27.0, 40.0, 10.0, 24.0, 43.0, 9.0, 21.0, 8.0, 47.0, 13.0, 14.0, 8.0, 23.0, 28.0, 7.0, 9.0, 15.0, 16.0, 20.0, 2.0, 61.0, 0.0]"
IS_III_C02_D07.jpg,"[46.0, 45.0, 41.0, 19.0, 33.0, 45.0, 26.0, 52.0, 38.0, 39.0, 32.0, 24.0, 27.0, 37.0, 31.0, 25.0, 34.0, 34.0, 61.0, 43.0, 20.0, 33.0, 23.0, 35.0, 33.0, 48.0, 51.0, 27.0, 4.0, 88.0, 25.0]"
IS_III_C02_D08.jpg,"[85.0, 61.0, 86.0, 79.0, 65.0, 50.0, 42.0, 57.0, 50.0, 67.0, 68.0, 71.0, 38.0, 53.0, 66.0, 56.0, 55.0, 55.0, 70.0, 64.0, 58.0, 70.0, 71.0, 59.0, 76.0, 84.0, 53.0, 50.0, 16.0, 85.0, 59.0]"
