name,musiq
10004473376.jpg,76.05509185791016
10007357496.jpg,72.04520416259766
10007903636.jpg,76.00045776367188
10009096245.jpg,71.12763214111328
100117038.jpg,73.14187622070312
10012398043.jpg,63.27674865722656
10013822223.jpg,67.96240234375
10014002683.jpg,61.43717956542969
10017119924.jpg,67.48506164550781
10020766793.jpg,76.72782897949219
10020891105.jpg,51.299827575683594
10022757465.jpg,73.34928131103516
10022844623.jpg,64.58354187011719
10027545463.jpg,73.38362121582031
10027582235.jpg,76.88081359863281
10029841663.jpg,74.31356048583984
10031298826.jpg,50.655479431152344
10031913154.jpg,69.75826263427734
10039534103.jpg,71.1954574584961
10041870415.jpg,67.24581146240234
10043785683.jpg,69.10777282714844
10047832035.jpg,73.32218170166016
10048365153.jpg,54.47163772583008
9954707815.jpg,57.538482666015625
9960023395.jpg,67.0449447631836
9961801436.jpg,25.84991455078125
9962870083.jpg,50.99266052246094
9967844514.jpg,66.16448211669922
9973079444.jpg,56.36053466796875
9975733946.jpg,69.64527893066406
9977056676.jpg,50.246368408203125
9977191265.jpg,73.2706527709961
9978257554.jpg,73.15581512451172
9984535544.jpg,70.7547836303711
9991658304.jpg,78.74877166748047
9991999836.jpg,77.36099243164062
9994596295.jpg,73.85318756103516
99945962959.jpg,58.46653747558594
9995874256.jpg,72.35150909423828
9996001596.jpg,69.04588317871094
9923967865.jpg,76.73033142089844
9925803176.jpg,60.111270904541016
9927178013.jpg,42.320945739746094
992920521.jpg,64.41873931884766
9932883805.jpg,70.03520965576172
9933953566.jpg,64.94978332519531
9934338535.jpg,67.85307312011719
9935149655.jpg,56.77193069458008
99355212.jpg,62.54130172729492
9935622.jpg,50.531044006347656
9936084895.jpg,65.4186019897461
9937341544.jpg,71.62117767333984
9941134286.jpg,68.73895263671875
9941646054.jpg,54.37729263305664
9942057643.jpg,75.30513763427734
9942195273.jpg,75.39910125732422
9945099433.jpg,46.09640121459961
9877078626.jpg,77.20287322998047
9878706283.jpg,50.7681770324707
9884648494.jpg,70.32071685791016
9884831806.jpg,64.77486419677734
9895608016.jpg,57.97856903076172
9895678845.jpg,64.02571105957031
9898091624.jpg,46.84056854248047
9905421695.jpg,57.111385345458984
9905676544.jpg,52.734432220458984
9906667675.jpg,32.47120666503906
9910043795.jpg,72.98210144042969
9910216783.jpg,77.3663330078125
9913105155.jpg,67.9068374633789
9915601385.jpg,63.57057189941406
9916890605.jpg,56.08385467529297
9919248523.jpg,63.453094482421875
9923517944.jpg,62.89487075805664
10050349236.jpg,25.637104034423828
10091520555.jpg,42.04689025878906
10147970884.jpg,76.08795928955078
10186643874.jpg,50.381675720214844
10226277514.jpg,46.41412353515625
10278246465.jpg,74.2258529663086
10325321.jpg,76.23011016845703
10358252894.jpg,62.5759162902832
10407720764.jpg,39.12687683105469
10446770756.jpg,69.56282806396484
10474002734.jpg,76.8238296508789
10530470795.jpg,43.751426696777344
10568567754.jpg,75.8676986694336
10605846204.jpg,66.36528778076172
1063722220.jpg,57.25972366333008
10683218616.jpg,68.56541442871094
10723077086.jpg,72.42859649658203
10765812585.jpg,53.855567932128906
10799853136.jpg,73.1645736694336
1085590803.jpg,24.244123458862305
10895044423.jpg,31.425600051879883
10923819485.jpg,36.582088470458984
10981006796.jpg,20.37657928466797
11023346856.jpg,65.61949920654297
11068654734.jpg,60.55030822753906
11139580153.jpg,36.76434326171875
11175538013.jpg,67.7428207397461
11241096796.jpg,71.57610321044922
11269626135.jpg,76.52629089355469
11302087114.jpg,63.19852828979492
11347140483.jpg,59.735069274902344
9823593036.jpg,67.1970443725586
9826425224.jpg,57.09361267089844
9829643193.jpg,65.6405258178711
9831633846.jpg,66.01351165771484
9834223025.jpg,56.360496520996094
9835851375.jpg,72.21660614013672
9842027236.jpg,77.16533660888672
9842476936.jpg,63.423954010009766
9843144115.jpg,71.45402526855469
9844170304.jpg,56.535888671875
9847211516.jpg,67.05946350097656
9849484955.jpg,50.972633361816406
9859562873.jpg,34.505184173583984
9866104216.jpg,56.61795425415039
9866692876.jpg,77.2522964477539
9873105273.jpg,66.42439270019531
