name,topiq_nr
10004473376.jpg,0.737017810344696
10007357496.jpg,0.6566898226737976
10007903636.jpg,0.7485831379890442
10009096245.jpg,0.5021006464958191
100117038.jpg,0.5808565616607666
10012398043.jpg,0.5374029874801636
10013822223.jpg,0.6130951046943665
10014002683.jpg,0.449969083070755
10017119924.jpg,0.6049913763999939
10020766793.jpg,0.7389914393424988
10020891105.jpg,0.39969006180763245
10022757465.jpg,0.5972666144371033
10022844623.jpg,0.5787093043327332
10027545463.jpg,0.598328173160553
10027582235.jpg,0.6775774359703064
10029841663.jpg,0.5894264578819275
10031298826.jpg,0.38726213574409485
10031913154.jpg,0.6397996544837952
10039534103.jpg,0.6381893157958984
10041870415.jpg,0.47398653626441956
10043785683.jpg,0.6847943663597107
10047832035.jpg,0.5634269118309021
10048365153.jpg,0.4914603531360626
9954707815.jpg,0.43676820397377014
9960023395.jpg,0.5025234818458557
9961801436.jpg,0.2789004147052765
9962870083.jpg,0.3227885365486145
9967844514.jpg,0.5334921479225159
9973079444.jpg,0.4185837209224701
9975733946.jpg,0.5565332770347595
9977056676.jpg,0.4009045660495758
9977191265.jpg,0.584999680519104
9978257554.jpg,0.5487673878669739
9984535544.jpg,0.6799308657646179
9991658304.jpg,0.7393760085105896
9991999836.jpg,0.7424384355545044
9994596295.jpg,0.715965747833252
99945962959.jpg,0.41596201062202454
9995874256.jpg,0.4814232885837555
9996001596.jpg,0.38465720415115356
9923967865.jpg,0.7316367030143738
9925803176.jpg,0.5483896732330322
9927178013.jpg,0.24989432096481323
992920521.jpg,0.44396841526031494
9932883805.jpg,0.5534817576408386
9933953566.jpg,0.5555374026298523
9934338535.jpg,0.5767679810523987
9935149655.jpg,0.4034639000892639
99355212.jpg,0.44319406151771545
9935622.jpg,0.24768325686454773
9936084895.jpg,0.5484212040901184
9937341544.jpg,0.6245589852333069
9941134286.jpg,0.5384365320205688
9941646054.jpg,0.3680090010166168
9942057643.jpg,0.6906512975692749
9942195273.jpg,0.7046306729316711
9945099433.jpg,0.30670365691185
9877078626.jpg,0.6490315794944763
9878706283.jpg,0.3755633533000946
9884648494.jpg,0.5262453556060791
9884831806.jpg,0.531073272228241
9895608016.jpg,0.3823544681072235
9895678845.jpg,0.5187483429908752
9898091624.jpg,0.26903608441352844
9905421695.jpg,0.48484113812446594
9905676544.jpg,0.3147772252559662
9906667675.jpg,0.32868465781211853
9910043795.jpg,0.6514657735824585
9910216783.jpg,0.6808080077171326
9913105155.jpg,0.5006468296051025
9915601385.jpg,0.5567113757133484
9916890605.jpg,0.3336014151573181
9919248523.jpg,0.46299290657043457
9923517944.jpg,0.4339238703250885
10050349236.jpg,0.21052587032318115
10091520555.jpg,0.2788531482219696
10147970884.jpg,0.6382209658622742
10186643874.jpg,0.4142293334007263
10226277514.jpg,0.3427550792694092
10278246465.jpg,0.713495135307312
10325321.jpg,0.5876133441925049
10358252894.jpg,0.4962864816188812
10407720764.jpg,0.2517091631889343
10446770756.jpg,0.531058669090271
10474002734.jpg,0.7240914106369019
10530470795.jpg,0.24706915020942688
10568567754.jpg,0.7176743149757385
10605846204.jpg,0.6242195963859558
1063722220.jpg,0.3665989339351654
10683218616.jpg,0.6255049109458923
10723077086.jpg,0.7190254330635071
10765812585.jpg,0.3824377954006195
