name,tres
10004473376.jpg,92.10700988769531
10007357496.jpg,84.30130767822266
10007903636.jpg,86.22698211669922
10009096245.jpg,49.031864166259766
100117038.jpg,70.51042175292969
10012398043.jpg,68.70207977294922
10013822223.jpg,81.63026428222656
10014002683.jpg,54.78878402709961
10017119924.jpg,84.73292541503906
10020766793.jpg,91.57256317138672
10020891105.jpg,45.90363311767578
10022757465.jpg,70.62742614746094
10022844623.jpg,83.08464813232422
10027545463.jpg,65.17855834960938
10027582235.jpg,88.94954681396484
10029841663.jpg,77.67982482910156
10031298826.jpg,39.74443435668945
10031913154.jpg,76.1884765625
10039534103.jpg,77.48185729980469
10041870415.jpg,63.93278121948242
10043785683.jpg,90.58382415771484
10047832035.jpg,66.77320861816406
10048365153.jpg,70.2332992553711
9954707815.jpg,64.0755386352539
9960023395.jpg,48.50707244873047
9961801436.jpg,36.61301040649414
9962870083.jpg,35.44673156738281
9967844514.jpg,63.87862777709961
9973079444.jpg,58.95843505859375
9975733946.jpg,73.0442123413086
9977056676.jpg,46.00311279296875
9977191265.jpg,76.8825454711914
9978257554.jpg,68.49411010742188
9984535544.jpg,69.29580688476562
9991658304.jpg,92.23609161376953
9991999836.jpg,88.51515197753906
9994596295.jpg,86.38575744628906
99945962959.jpg,63.00167465209961
9995874256.jpg,56.56776809692383
9996001596.jpg,35.484745025634766
9923967865.jpg,91.25712585449219
9925803176.jpg,73.38778686523438
9927178013.jpg,40.53160095214844
992920521.jpg,54.21284866333008
9932883805.jpg,75.99982452392578
9933953566.jpg,73.01105499267578
9934338535.jpg,82.95128631591797
9935149655.jpg,67.8834457397461
99355212.jpg,64.58028411865234
9935622.jpg,24.295795440673828
9936084895.jpg,74.31202697753906
9937341544.jpg,79.04397583007812
9941134286.jpg,62.14396286010742
9941646054.jpg,42.63728332519531
9942057643.jpg,87.16731262207031
9942195273.jpg,88.48092651367188
9945099433.jpg,35.71466827392578
9877078626.jpg,79.01095581054688
9878706283.jpg,56.98253631591797
9884648494.jpg,73.8395767211914
9884831806.jpg,67.61548614501953
9895608016.jpg,55.19070816040039
9895678845.jpg,71.93607330322266
9898091624.jpg,33.20768356323242
9905421695.jpg,67.76907348632812
9905676544.jpg,36.09596633911133
9906667675.jpg,19.688383102416992
9910043795.jpg,82.5967788696289
9910216783.jpg,78.37043762207031
9913105155.jpg,68.4424819946289
9915601385.jpg,56.43198013305664
9916890605.jpg,39.03744125366211
9919248523.jpg,55.42625045776367
9923517944.jpg,59.8211555480957
10050349236.jpg,24.368114471435547
10091520555.jpg,24.41554832458496
10147970884.jpg,83.86831665039062
10186643874.jpg,63.82426452636719
10226277514.jpg,36.8446159362793
10278246465.jpg,93.12918090820312
10325321.jpg,74.60480499267578
10358252894.jpg,74.28508758544922
10407720764.jpg,34.751708984375
10446770756.jpg,44.21615219116211
10474002734.jpg,89.8226089477539
10530470795.jpg,26.783456802368164
10568567754.jpg,87.85295104980469
10605846204.jpg,76.34529876708984
1063722220.jpg,36.39031219482422
10683218616.jpg,74.39339447021484
10723077086.jpg,90.51304626464844
10765812585.jpg,54.80744934082031
10799853136.jpg,79.27275085449219
1085590803.jpg,10.93825626373291
10895044423.jpg,20.51558494567871
10923819485.jpg,35.73189163208008
10981006796.jpg,10.855351448059082
11023346856.jpg,67.2043228149414
11068654734.jpg,75.85881805419922
11139580153.jpg,26.504074096679688
11175538013.jpg,71.77246856689453
11241096796.jpg,75.47447967529297
11269626135.jpg,93.78231048583984
11302087114.jpg,44.86785888671875
11347140483.jpg,72.43614959716797
9823593036.jpg,81.41487121582031
9826425224.jpg,34.59463882446289
9829643193.jpg,69.52086639404297
9831633846.jpg,64.2607421875
9834223025.jpg,70.42342376708984
9835851375.jpg,66.65966796875
9842027236.jpg,90.48802185058594
9842476936.jpg,57.74178695678711
9843144115.jpg,69.79756927490234
9844170304.jpg,78.6661148071289
9847211516.jpg,47.3651123046875
9849484955.jpg,30.924850463867188
9859562873.jpg,27.39249038696289
9866104216.jpg,67.0013198852539
9866692876.jpg,88.30661010742188
9873105273.jpg,58.4440803527832
