name,wadiqam_nr
10004473376.jpg,0.03751607611775398
10007357496.jpg,0.007671119645237923
10007903636.jpg,0.0931139662861824
10009096245.jpg,-0.5754563212394714
100117038.jpg,-0.18884262442588806
10012398043.jpg,-0.14612190425395966
10013822223.jpg,-0.1328076869249344
10014002683.jpg,-0.38599705696105957
10017119924.jpg,-0.02048114314675331
10020766793.jpg,0.13590578734874725
10020891105.jpg,-0.4864884614944458
10022757465.jpg,-0.25233399868011475
10022844623.jpg,-0.17765860259532928
10027545463.jpg,-0.0650629848241806
10027582235.jpg,-0.09355416148900986
10029841663.jpg,-0.15747897326946259
10031298826.jpg,-0.5996170043945312
10031913154.jpg,0.046086445450782776
10039534103.jpg,-0.1738497018814087
10041870415.jpg,-0.3751996159553528
10043785683.jpg,0.07715695351362228
10047832035.jpg,-0.40644344687461853
10048365153.jpg,-0.11049699038267136
9954707815.jpg,-0.2620294988155365
9960023395.jpg,-0.5055873394012451
9961801436.jpg,-0.7234658598899841
9962870083.jpg,-0.5189593434333801
9967844514.jpg,-0.3258618116378784
9973079444.jpg,-0.3524250090122223
9975733946.jpg,-0.3497482240200043
9977056676.jpg,-0.7130538821220398
9977191265.jpg,0.013441003859043121
9978257554.jpg,-0.5088625550270081
9984535544.jpg,0.12234293669462204
9991658304.jpg,0.09271376579999924
9991999836.jpg,0.08312032371759415
9994596295.jpg,-0.1991163194179535
99945962959.jpg,-0.22797466814517975
9995874256.jpg,-0.35322412848472595
9996001596.jpg,-0.7940413951873779
9923967865.jpg,0.08989665657281876
9925803176.jpg,-0.01411302201449871
9927178013.jpg,-0.915529727935791
992920521.jpg,-0.648737370967865
9932883805.jpg,-0.2320636808872223
9933953566.jpg,-0.17935599386692047
9934338535.jpg,-0.15094035863876343
9935149655.jpg,-0.5847826600074768
99355212.jpg,-0.421392023563385
9935622.jpg,-0.9726846814155579
9936084895.jpg,-0.5212286114692688
9937341544.jpg,0.04545111209154129
9941134286.jpg,-0.36787182092666626
9941646054.jpg,-0.6595890522003174
9942057643.jpg,0.04399484023451805
9942195273.jpg,0.08722355961799622
9945099433.jpg,-0.9444026947021484
9877078626.jpg,-0.19908803701400757
9878706283.jpg,-0.679532527923584
9884648494.jpg,-0.16135935485363007
9884831806.jpg,-0.4466612935066223
9895608016.jpg,-0.45164480805397034
9895678845.jpg,-0.2820988595485687
9898091624.jpg,-0.760247528553009
9905421695.jpg,-0.2245500385761261
9905676544.jpg,-0.6203328967094421
9906667675.jpg,-0.4821392595767975
9910043795.jpg,-0.08270467072725296
9910216783.jpg,0.024871081113815308
9913105155.jpg,-0.23509524762630463
9915601385.jpg,-0.2693827748298645
9916890605.jpg,-0.8140832185745239
9919248523.jpg,-0.5421143174171448
9923517944.jpg,-0.3560233414173126
10050349236.jpg,-1.0420570373535156
10091520555.jpg,-0.9437623023986816
10147970884.jpg,-0.1300974190235138
10186643874.jpg,-0.5360174775123596
10226277514.jpg,-0.6407382488250732
10278246465.jpg,0.08401180803775787
10325321.jpg,-0.44574210047721863
10358252894.jpg,-0.2434341460466385
