name,niqe
10004473376.jpg,2.1050677677876353
10007357496.jpg,1.9133320009560806
10007903636.jpg,3.0325003250349574
10009096245.jpg,3.4983775701062667
100117038.jpg,4.715790106891442
10012398043.jpg,2.6883934438798014
10013822223.jpg,9.171466016424622
10014002683.jpg,6.768884224485514
10017119924.jpg,2.003179073666335
10020766793.jpg,2.561722443406852
10020891105.jpg,3.1502863452866694
10022757465.jpg,3.6740775225981745
10022844623.jpg,2.604174855570847
10027545463.jpg,3.599435871008608
10027582235.jpg,3.2390453452381167
10029841663.jpg,3.2131434431456745
10031298826.jpg,2.8406935233931216
10031913154.jpg,2.766548745571544
10039534103.jpg,11.361009556151702
10041870415.jpg,1.9662895853738218
10043785683.jpg,2.0145660514611747
10047832035.jpg,3.2880879614842478
10048365153.jpg,2.910790245977411
9954707815.jpg,3.4980920343305124
9960023395.jpg,3.2542652923205027
9961801436.jpg,5.214199070543874
9962870083.jpg,2.5362382848193787
9967844514.jpg,4.143665797245277
9973079444.jpg,3.9806960186443345
9975733946.jpg,3.8565199454639463
9977056676.jpg,4.447815218664407
9977191265.jpg,3.440662632417213
9978257554.jpg,3.817995575411848
9984535544.jpg,3.80448784031106
9991658304.jpg,2.0918817018267877
9991999836.jpg,3.012002795983722
9994596295.jpg,2.6962849395115667
99945962959.jpg,4.932110288189742
9995874256.jpg,4.143701183093405
9996001596.jpg,5.4645482103178535
9923967865.jpg,3.2078368309774326
9925803176.jpg,2.8276437189627583
9927178013.jpg,5.918548140776075
992920521.jpg,4.7568509844076505
9932883805.jpg,3.4203404215843354
9933953566.jpg,3.1326306794492607
9934338535.jpg,4.7462757524254
9935149655.jpg,6.115451190244383
99355212.jpg,5.1263046198998286
9935622.jpg,5.756737543046336
9936084895.jpg,6.721379263706139
9937341544.jpg,2.759795450140689
9941134286.jpg,2.537107910088189
9941646054.jpg,5.1092208433990445
9942057643.jpg,2.019288851018581
9942195273.jpg,2.160222523763468
9945099433.jpg,5.1182321319305535
9877078626.jpg,3.33943073227238
9878706283.jpg,2.989337385819401
9884648494.jpg,2.5388929548566606
9884831806.jpg,3.875948956929333
9895608016.jpg,2.6349801959757295
9895678845.jpg,2.296174100998779
9898091624.jpg,7.461126196181977
9905421695.jpg,2.8217534204527563
9905676544.jpg,6.755794257804287
9906667675.jpg,4.759663535322926
9910043795.jpg,1.6119233532505208
9910216783.jpg,5.922292801533022
9913105155.jpg,3.5359034109243965
9915601385.jpg,3.7130874923146306
9916890605.jpg,6.078066006767412
9919248523.jpg,5.470376221956275
9923517944.jpg,3.786274711633485
10050349236.jpg,5.553073471400658
10091520555.jpg,6.207978514211887
10147970884.jpg,2.871465579532178
10186643874.jpg,3.5666564749409013
10226277514.jpg,6.005150792614209
10278246465.jpg,2.388177493679829
10325321.jpg,3.1774540329979577
10358252894.jpg,2.600564589587768
10407720764.jpg,5.152313126620172
10446770756.jpg,3.3780943540419126
10474002734.jpg,1.789127366116163
10530470795.jpg,5.1588745960317715
10568567754.jpg,1.8776783559675811
10605846204.jpg,3.9709061322586097
1063722220.jpg,3.0630332509605798
10683218616.jpg,2.0992717575432436
10723077086.jpg,2.6919986517771672
10765812585.jpg,7.103827856682749
10799853136.jpg,2.646217469184145
1085590803.jpg,5.470333897416013
10895044423.jpg,7.032616425417002
10923819485.jpg,6.050377921949071
10981006796.jpg,7.872033151157954
11023346856.jpg,2.2707721862533536
11068654734.jpg,7.748333579358505
11139580153.jpg,5.547558117197405
11175538013.jpg,4.317247545433105
11241096796.jpg,4.393726875168625
11269626135.jpg,2.906176870884095
11302087114.jpg,6.032700527496861
11347140483.jpg,3.691723193718813
9823593036.jpg,5.3157558960024325
